project_id,project_name,program_group,project_start_date,project_completion_date,extended_affordability_status,prevailing_wage_status,extremely_low_income_units,very_low_income,low_income_units,moderate_income,middle_income,other,counted_rental_units,counted_homeownership_units,all_counted_units,total_units,senior_units,planned_tax_benefit
60912,CONFIDENTIAL,Confidential,2016-04-29T00:00:00.000,2016-04-29T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
60914,CONFIDENTIAL,Confidential,2016-04-18T00:00:00.000,2016-04-18T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
60917,CONFIDENTIAL,Confidential,2016-04-19T00:00:00.000,2016-04-19T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
60919,CONFIDENTIAL,Confidential,2016-04-26T00:00:00.000,2016-04-26T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
60963,FAC. 6309 FOURTH AVENUE,Multifamily Finance Program,2019-11-26T00:00:00.000,2023-04-18T00:00:00.000,No,Prevailing Wage,83,0,0,0,0,1,84,0,84,84,83,420c
60993,CONFIDENTIAL,Confidential,2016-04-12T00:00:00.000,2016-06-30T00:00:00.000,No,Non Prevailing Wage,0,2,0,0,0,0,0,2,2,2,0,
60994,CONFIDENTIAL,Confidential,2016-04-27T00:00:00.000,2016-06-09T00:00:00.000,No,Non Prevailing Wage,0,0,0,3,0,0,0,3,3,3,0,
60995,CONFIDENTIAL,Confidential,2016-05-10T00:00:00.000,2016-09-02T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,1,
60996,WOODSTOCK TERRACE MUTUAL HOUSING CORP,Multifamily Finance Program,2017-06-29T00:00:00.000,,No,Non Prevailing Wage,0,319,0,0,0,1,0,320,320,320,0,J-51 Enriched
60999,CONFIDENTIAL,Confidential,2016-05-13T00:00:00.000,2016-11-14T00:00:00.000,No,Non Prevailing Wage,0,0,0,2,0,0,0,2,2,2,1,
61016,10 MONTIETH STREET,Multifamily Incentives Program,2016-12-08T00:00:00.000,2019-06-05T00:00:00.000,No,Non Prevailing Wage,0,0,100,0,0,0,100,0,100,500,0,421a
